StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Maricopa,2011,8,13.71741781,0.037045774,0.854808194,0.213104565
AZ,Arizona,Maricopa,2011,9,18.74722046,0.029874982,0.862716509,0.262250561
AZ,Arizona,Maricopa,2011,10,25.16123522,0.019551041,1.396968939,0.48965602
AZ,Arizona,Maricopa,2011,11,22.87154267,0.01589235,1.216931192,0.507834158
AZ,Arizona,Maricopa,2011,12,23.4257926,0.014065742,1.406306645,0.661502468
AZ,Arizona,Maricopa,2012,1,26.53226364,0.01190925,1.788330893,0.726002179
AZ,Arizona,Maricopa,2012,2,23.46069583,0.020602017,1.149951259,0.553775397
AZ,Arizona,Maricopa,2012,3,20.92070382,0.026724952,0.806929903,0.453546685
AZ,Arizona,Maricopa,2012,4,18.42568647,0.033696718,0.820348612,0.391398
AZ,Arizona,Maricopa,2012,5,16.34567866,0.039275286,0.980551946,0.282259366
AZ,Arizona,Maricopa,2012,6,12.96441198,0.034311783,1.049679867,0.206861783
AZ,Arizona,Maricopa,2012,7,9.835733638,0.038202447,1.078206245,0.226154436
AZ,Arizona,Maricopa,2012,8,13.3275172,0.039150073,1.067085524,0.180909341
AZ,Arizona,Maricopa,2012,9,16.08650008,0.03020425,1.268033517,0.240668908
AZ,Arizona,Maricopa,2012,10,24.41213511,0.021227196,1.522385089,0.373514071
AZ,Arizona,Maricopa,2012,11,29.38605436,0.0136454,1.912376055,0.691382191
AZ,Arizona,Maricopa,2012,12,25.83106775,0.013957318,1.5254035,0.515077182
AZ,Arizona,Maricopa,2013,1,27.06276442,0.013133737,1.671640724,0.551027263
AZ,Arizona,Maricopa,2013,2,24.55269183,0.019102326,1.229195978,0.452950717
AZ,Arizona,Maricopa,2013,3,23.48898357,0.02362125,1.116934568,0.402140318
AZ,Arizona,Maricopa,2013,4,14.42040483,0.032747906,0.976603179,0.355996764
AZ,Arizona,Maricopa,2013,5,13.11266104,0.043157333,0.969799796,0.284381704
AZ,Arizona,Maricopa,2013,6,14.25337633,0.03149825,0.692030562,0.251094604
AZ,Arizona,Maricopa,2013,7,8.458074919,0.040788274,0.617773758,0.289325395
AZ,Arizona,Maricopa,2013,8,12.26782742,0.03615746,0.93656535,0.26465779
AZ,Arizona,Maricopa,2013,9,16.15006332,0.030826342,1.096686684,0.297066921
AZ,Arizona,Maricopa,2013,10,21.47814673,0.022697081,0.92532196,0.438314976
AZ,Arizona,Maricopa,2013,11,20.78656535,0.018360417,0.843998233,0.540041242
AZ,Arizona,Maricopa,2013,12,24.32586648,0.014085613,1.300929185,0.704596024
AZ,Arizona,Maricopa,2014,1,28.67159269,0.012630355,1.744665734,0.806895347
AZ,Arizona,Maricopa,2014,2,25.26993855,0.016983643,1.045365107,0.601942964
AZ,Arizona,Maricopa,2014,3,18.49932802,0.028692887,0.813259306,0.401580242
AZ,Arizona,Maricopa,2014,4,15.56307928,0.036538052,0.85660681,0.313776724
AZ,Arizona,Maricopa,2014,5,12.36809602,0.041263429,0.946132571,0.312890402
AZ,Arizona,Maricopa,2014,6,14.11377017,0.032537333,1.123503198,0.31710576
AZ,Arizona,Maricopa,2014,7,8.521194016,0.039286323,1.360459476,0.288040815
AZ,Arizona,Maricopa,2014,8,10.92852026,0.035446903,1.622822532,0.321924331
AZ,Arizona,Maricopa,2014,9,13.53847993,0.028406233,1.204075417,0.424125733
AZ,Arizona,Maricopa,2014,10,22.12795679,0.022512806,1.259173073,0.587651742
AZ,Arizona,Maricopa,2014,11,22.79540517,0.016617933,1.132060917,0.622795375
AZ,Arizona,Maricopa,2014,12,22.68243156,0.011779177,1.283120089,0.739152468
AZ,Arizona,Maricopa,2015,1,22.47967363,0.012938712,1.231951534,0.698852364
AZ,Arizona,Maricopa,2015,2,21.16668296,0.019918018,0.930806973,0.588485464
AZ,Arizona,Maricopa,2015,3,19.05674834,0.026822565,0.570547629,0.507979613
